index,phu_id,gender,gender_count
0,2226,MALE,8
1,2226,FEMALE,4
2,2227,FEMALE,33
3,2227,MALE,38
4,2230,MALE,231
5,2230,FEMALE,378
6,2233,FEMALE,19
7,2233,MALE,12
8,2234,FEMALE,44
9,2234,MALE,66
10,2234,UNSPECIFIED,1
11,2235,FEMALE,42
12,2235,MALE,25
13,2236,FEMALE,240
14,2236,MALE,232
15,2237,FEMALE,331
16,2237,UNSPECIFIED,2
17,2237,MALE,297
18,2238,FEMALE,15
19,2238,MALE,22
20,2240,FEMALE,28
21,2240,MALE,21
22,2241,MALE,23
23,2241,FEMALE,24
24,2242,MALE,44
25,2242,FEMALE,52
26,2243,MALE,40
27,2243,FEMALE,55
28,2244,MALE,187
29,2244,FEMALE,202
30,2246,FEMALE,469
31,2246,UNSPECIFIED,1
32,2246,MALE,256
33,2247,FEMALE,11
34,2247,MALE,9
35,2249,UNSPECIFIED,2
36,2249,MALE,27
37,2249,FEMALE,23
38,2251,UNSPECIFIED,1
39,2251,FEMALE,462
40,2251,MALE,345
41,2253,UNSPECIFIED,1
42,2253,MALE,961
43,2253,GENDER DIVERSE,1
44,2253,FEMALE,1114
45,2255,FEMALE,21
46,2255,UNSPECIFIED,1
47,2255,MALE,14
48,2256,MALE,13
49,2256,UNSPECIFIED,1
50,2256,FEMALE,18
51,2257,MALE,14
52,2257,UNSPECIFIED,1
53,2257,FEMALE,13
54,2258,FEMALE,78
55,2258,MALE,40
56,2260,MALE,172
57,2260,FEMALE,211
58,2261,UNSPECIFIED,1
59,2261,MALE,41
60,2261,FEMALE,45
61,2262,MALE,105
62,2262,UNSPECIFIED,1
63,2262,GENDER DIVERSE,1
64,2262,FEMALE,86
65,2263,FEMALE,6
66,2263,MALE,4
67,2265,FEMALE,248
68,2265,MALE,266
69,2265,UNSPECIFIED,2
70,2266,MALE,123
71,2266,UNSPECIFIED,10
72,2266,FEMALE,140
73,2268,UNSPECIFIED,12
74,2268,MALE,384
75,2268,FEMALE,304
76,2270,UNSPECIFIED,5
77,2270,MALE,444
78,2270,FEMALE,494
79,3895,MALE,1520
80,3895,UNSPECIFIED,65
81,3895,FEMALE,1996
82,4913,FEMALE,70
83,4913,UNSPECIFIED,1
84,4913,MALE,84
85,5183,MALE,25
86,5183,FEMALE,45
